longitude,latitude,OBJECTID,IDENTIFICATIE,NAAM,STRAAT,HUISNUMMER,HUISLETTER,HUISNUMMER_TOEVOEGING,POSTCODE,PLAATS,SPORT_SOORT,HOOFDBELEIDSVELD
4.746153611,51.62356858,436,4823JX004.04,Tribune Voetbalvereniging BSV Boeimeer,Heksendans,4,,,4823 JX,Breda,BUI - Voetbal,
4.744911667,51.62392942,437,4823JX004.01,Clubhuis Voetbalvereniging BSV Boeimeer,Heksendans,4,,,4823 JX,Breda,BUI - Voetbal,
4.810640719,51.58756146,438,4817GG005.02,Clubhuis Voetbalvereniging PCP,Langveld,5,,,4817 GG,Breda,BUI - Voetbal,
4.760631374,51.56383207,439,4837BN026.03,Berging BHBC,Burgemeester de Manlaan,26,,,4837 BN,Breda,BUI - Hockey,
4.749024967,51.59459061,440,4815NC003.06,Stadion toren 4,Stadionstraat,5,,,4815 NC,Breda,BUI - Voetbal,
4.79740535,51.55629039,441,4851AT002.01,Woning,Jeugdland,2,,,4851 AT,Ulvenhout,BIN - Sporthal,
4.781361577,51.60193633,442,4826LJ041.02,Kleedkamers  Voetbalvereniging Advendo,Bastenakenstraat,41,,,4826 LJ,Breda,BUI - Voetbal,
4.780544275,51.55130113,443,4836AC051.01,Clubhuis Hockeyvereniging Zwart-Wit,Galderseweg,51,,,4836 AC,Breda,BUI - Hockey,
4.808824889,51.58431841,444,4817GN085.01,Kleedkamers Sportpark Molenley,Nieuwe Inslag,85,,,4817 GN,Breda,BUI - Boules,
4.77525406,51.57892505,445,4818RH009.00,Gymzaal Jan Nieuwenhuyzenstraat,Jan Nieuwenhuyzenstraat,9,,,4818 RH,Breda,BIN - Gymzaal,
4.729772777,51.61522139,446,4822RK080.05,Kleedkamers Voetbalvereniging WDS,Ganzerik,84,,,4822 RK,Breda,BUI - Voetbal,
4.759848792,51.56872911,447,4837CJ057.02,Clubhuis Voetbalvereniging SAB,Ruitersboslaan,57,,,4837 CJ,Breda,BUI - Voetbal,
4.776032349,51.61758713,448,4826AB512.02,Kleedkamers  Bredase Rugbyclub,Terheijdenseweg,516,,,4826 AB,Breda,BUI - Rugby,
4.776032349,51.61758713,449,4826AB512.06,Clubhuis Bredase Rugbyclub,Terheijdenseweg,516,,,4826 AB,Breda,BUI - Rugby,
4.738622277,51.62273522,450,4823BJ002.02,Gymzaal Twaalfbunder,Twaalfbunder,4,,,4823 BJ,Breda,BIN - Gymzaal,
4.830092902,51.60569917,451,4847EJ038.01,Berging Sportpark de Gouwen,Donkerstraat,44,,,4847 EJ,Teteringen,BUI - Tennis,
4.775761859,51.61665141,452,4826AB512.01,Kleedkamers Voetbalvereniging Barca,Terheijdenseweg,512,,,4826 AB,Breda,BUI - Rugby,
4.740955716,51.60507054,453,4824NB001.01,Clubhuis Tennisvereniging Haagse Beemden,Kantenbeemd,1,,,4824 NB,Breda,BUI - Tennis,
4.827822626,51.56441246,454,4854AB004.03,Horeca de Huif,Deken Dr. Dirckxweg,4,B,,4854 AB,Bavel,BIN - Sporthal,
4.796682641,51.5566936,455,4851AT001.02,Kleedkamers Voetbalvereniging UVV '40,Jeugdland,5,,,4851 AT,Ulvenhout,BUI - Voetbal,
4.708113455,51.60788304,456,4841EG037.21,Clubhuis Hockeyvereniging Prinsenbeek,Postbaan,38,,,4841 EG,Prinsenbeek,BUI - Hockey,
