latitude,longitude,year,green_score,livability_score
"51,542246258","4,7950905055",2018,17.166666666666668,2.3917017443423045
"51,542270222","4,796867318",2009,17.5,2.3665030339595017
"51,54230608","4,7951706626",2018,27.0,2.3917017443423045
"51,542343825","4,7969762726",2009,18.333333333333332,2.3665030339595017
"51,54242","4,79519",2018,25.0,2.3917017443423045
"51,542444583","4,7968275228",2009,15.833333333333334,2.3665030339595017
"51,542517477","4,7966643265",2009,18.166666666666668,2.358735176348963
"51,54258097","4,7964962568",2009,15.0,2.358735176348963
"51,5425954","4,7952144",2018,28.666666666666668,2.363023336916122
"51,542616824","4,7950360703",2009,33.166666666666664,2.363023336916122
"51,542621495","4,7952980076",2018,27.833333333333332,2.363023336916122
"51,542641413","4,7948580979",2009,31.0,2.363023336916122
"51,542646265","4,796329036",2009,17.333333333333332,2.358735176348963
"51,542666645","4,7946802198",2009,22.833333333333332,2.419810888034837
"51,542683332","4,7974545419",2009,38.166666666666664,2.358735176348963
"51,542721062","4,7951690962",2018,27.8,2.363023336916122
"51,542722853","4,7947500871",2009,19.6,2.363023336916122
"51,542757473","4,7959891589",2009,26.6,2.363023336916122
"51,542762706","4,7949252742",2009,30.5,2.363023336916122
"51,542776145","4,7958106057",2009,25.833333333333332,2.363023336916122
"51,542793192","4,7956317532",2009,28.6,2.363023336916122
"51,542802559","4,7951004613",2009,31.666666666666668,2.363023336916122
"51,542810238","4,7954529007",2009,34.166666666666664,2.363023336916122
"51,542827226","4,7952740427",2009,24.666666666666668,2.363023336916122
"51,542898259","4,7951986506",2009,34.333333333333336,2.363023336916122
"51,542971226","4,7973637799",2009,40.5,2.358735176348963
"51,542980478","4,7975432046",2009,38.833333333333336,2.358735176348963
"51,542987211","4,7971851018",2009,41.8,2.358735176348963
"51,54298973","4,7977226292",2009,42.75,2.342863372436584
"51,542998967","4,7979020546",2009,32.833333333333336,2.342863372436584
"51,543002452","4,7952942308",2009,34.833333333333336,2.363023336916122
"51,543008194","4,7980814805",2009,32.666666666666664,2.342863372436584
"51,54301742","4,7982609064",2009,35.333333333333336,2.342863372436584
"51,543020977","4,7970096911",2009,44.5,2.358735176348963
"51,543026647","4,7984403324",2009,32.333333333333336,2.342863372436584
"51,543035874","4,7986197583",2009,28.666666666666668,2.342863372436584
"51,543074971","4,7952310818",2016,28.0,2.363023336916122
"51,54308","4,79684",2009,41.8,2.358735176348963
"51,543085821","4,7989593442",2009,46.166666666666664,2.342863372436584
"51,543088466","4,7987850794",2009,37.166666666666664,2.342863372436584
"51,54309","4,79532",2018,34.8,2.363023336916122
"51,543117522","4,7951426945",2009,33.2,2.363023336916122
"51,543136814","4,7966695567",2009,37.0,2.358735176348963
"51,543147907","4,7954054101",2018,34.6,2.363023336916122
"51,543193629","4,7964991134",2009,39.666666666666664,2.358735176348963
"51,543195867","4,7949846113",2009,37.2,2.363023336916122
"51,543242525","4,7988775152",2009,51.666666666666664,2.342863372436584
"51,543250443","4,7963286701",2009,32.333333333333336,2.358735176348963
"51,543258395","4,7953826252",2018,39.5,2.363023336916122
"51,543307258","4,7961582269",2009,37.6,2.363023336916122
"51,543313542","4,7954749625",2018,42.5,2.363023336916122
"51,543333316","4,7948695726",2009,32.4,2.363023336916122
"51,543360372","4,7970637943",2009,41.2,2.358735176348963
"51,543364072","4,7959877836",2009,38.2,2.363023336916122
"51,543396585","4,7989699511",2009,54.5,2.354470835016916
"51,543425301","4,7954488775",2018,37.4,2.3646038804315825
"51,543434343","4,7958256569",2009,40.0,2.3646038804315825
"51,543476721","4,7947613423",2009,39.666666666666664,2.3646038804315825
"51,54347844","4,7955462886",2018,41.5,2.3646038804315825
"51,543529028","4,7971257126",2009,30.0,2.362384135072418
"51,543550904","4,799038055",2009,52.333333333333336,2.354470835016916
"51,543589138","4,7955226098",2018,41.833333333333336,2.3646038804315825
"51,543598227","4,7958831152",2009,44.833333333333336,2.3646038804315825
"51,5436","4,79901",2009,45.166666666666664,2.354470835016916
"51,543620126","4,7946531121",2009,47.166666666666664,2.3955266933486854
"51,543640976","4,7988939025",2009,32.0,2.354470835016916
"51,543661356","4,7978606687",2009,30.666666666666668,2.354470835016916
"51,543667548","4,7976811124",2009,30.0,2.354470835016916
"51,543685712","4,7975026353",2009,27.2,2.362384135072418
"51,543700771","4,7987244821",2009,31.5,2.354470835016916
"51,543711727","4,7973248657",2009,27.4,2.362384135072418
"51,54372","4,79867",2009,30.333333333333332,2.354470835016916
"51,543723999","4,7980230652",2009,34.6,2.354470835016916
"51,543735379","4,7959991671",2009,37.666666666666664,2.3646038804315825
"51,543738577","4,7955037997",2018,45.666666666666664,2.3646038804315825
"51,543748043","4,7956060247",2018,42.166666666666664,2.3646038804315825
"51,543763532","4,7945448819",2009,65.83333333333333,2.3955266933486854
"51,543767969","4,7970243948",2009,33.333333333333336,2.362384135072418
"51,543779335","4,8073853036",2009,29.833333333333332,2.294376103860821
"51,54378","4,80721",2009,36.5,2.294376103860821
"51,543781729","4,7985012744",2009,31.666666666666668,2.354470835016916
