cbs_grid_code,livability_score
E1083N4017,2.264562078682163
E1083N4018,2.291277384461284
E1083N4019,2.3020917550233078
E1083N4020,2.2755282848045733
E1083N4021,2.25900299644268
E1083N4022,2.25869400914746
E1083N4023,2.276330388400872
E1083N4024,2.317182098880637
E1084N4007,2.304515891491036
E1084N4008,2.2379000643662845
E1084N4009,2.210167356432493
E1084N4010,2.200660186177517
E1084N4011,2.2104957436242585
E1084N4012,2.205546890337589
E1084N4013,2.2100373371452338
E1084N4014,2.224894041766082
E1084N4015,2.217844293808266
E1084N4016,2.2458847406516456
E1084N4017,2.2887880782238814
E1084N4018,2.29783335541762
E1084N4019,2.3322283736190204
E1084N4020,2.261232292752457
E1084N4021,2.248556617700206
E1084N4022,2.24416454609962
E1084N4023,2.257565576907773
E1084N4024,2.30919674149925
E1084N4025,2.3847104130451804
E1085N4007,2.2687833178714176
E1085N4008,2.211542035802314
E1085N4009,2.19269245248036
E1085N4010,2.1972710894305707
E1085N4011,2.205455749564278
E1085N4012,2.2010493143491825
E1085N4013,2.2122625496280546
E1085N4014,2.2292105636039525
E1085N4015,2.2609152308839517
E1085N4016,2.258912010917334
E1085N4017,2.2900789227212988
E1085N4018,2.345550081724294
E1085N4019,2.3420483746424767
E1085N4020,2.3756782863877355
E1085N4021,2.246332642935025
E1085N4022,2.265828126407875
E1085N4023,2.28768616167658
E1086N4006,2.336779619715562
E1086N4007,2.286636436605226
E1086N4008,2.206227370439178
E1086N4009,2.174481704316087
E1086N4010,2.1837801908435965
E1086N4011,2.2127682311168653
E1086N4012,2.2010904992241023
E1086N4013,2.212871472023102
E1086N4014,2.264160052320568
E1086N4015,2.2750965701601853
E1086N4016,2.2802333782892616
E1086N4017,2.284362552495646
E1086N4018,2.386613788134168
E1087N4005,2.4194065967984337
E1087N4007,2.311174721762723
E1087N4008,2.234676099208025
E1087N4009,2.187746603760492
E1087N4010,2.1918562538714657
E1087N4011,2.218707387862896
E1087N4012,2.219945367137212
E1087N4013,2.1992451698844224
E1087N4014,2.266882923216317
E1087N4015,2.3027330364697454
E1087N4016,2.304667861345
E1087N4017,2.343513566827331
E1088N4005,2.438408892653728
E1088N4007,2.339771862318131
E1088N4008,2.243222346794429
E1088N4009,2.202983778667612
E1088N4010,2.2094230502880627
E1088N4011,2.229760268850777
E1088N4012,2.264992529819273
E1088N4013,2.271204990262388
E1088N4014,2.277650137995683
E1088N4015,2.30321583667761
E1088N4026,2.03656534851622
E1088N4029,1.876118735961822
E1088N4030,1.8777711238045112
E1088N4031,1.887341007266085
E1089N4007,2.2845527091845867
E1089N4008,2.276975940121255
E1089N4009,2.2676184210132715
E1089N4024,2.02405037895536
E1089N4025,1.963900286150734
E1089N4026,1.9834311632078416
E1089N4027,2.0154035878321777
E1089N4028,1.967744169679896
E1089N4029,1.886982942654062
E1089N4030,1.8927502465215895
E1089N4031,1.893806106620102
E1089N4032,1.9173706249808629
E1090N4021,1.8945752573488404
E1090N4023,1.946140747825556
E1090N4024,1.951528408536748
E1090N4025,1.909458700197688
E1090N4026,1.9584435240608264
E1090N4027,1.9880802902183103
E1090N4028,1.99251638183298
E1090N4029,1.908934653980645
E1090N4030,1.892048938068099
E1090N4031,1.9392301074973368
E1090N4032,2.0542144672062013
E1091N4010,2.450808463123033
E1091N4011,2.451989461903775
E1091N4019,1.9559230012553332
E1091N4020,1.9491835260011672
E1091N4021,1.9242968525787083
E1091N4022,1.9322696285223944
E1091N4023,1.9034475491207048
E1091N4024,1.9123554028568288
E1091N4025,1.9093459384844933
E1091N4026,1.9491955933725456
E1091N4027,2.012179233429263
E1091N4028,2.071090211794396
E1091N4029,2.046938613087437
E1091N4030,2.088892592214577
E1091N4031,2.1114089787280603
E1091N4032,2.152520543212931
E1091N4033,2.242966307419027
E1091N4036,2.3115337679016
E1092N4009,2.438155687792288
E1092N4010,2.445282015315055
E1092N4019,2.0577724747095307
E1092N4020,1.975218823816778
E1092N4021,1.9499828472559195
E1092N4022,1.9229243881085103
E1092N4023,1.93622258344862
E1092N4024,1.935503961408532
E1092N4025,1.9512578604187631
E1092N4026,2.004142386149093
E1092N4027,2.1089339502270144
E1092N4028,2.1673123123521543
E1092N4029,2.1695639281351915
E1092N4030,2.185948967207473
E1092N4031,2.1957899091231976
E1092N4032,2.2313474947769163
E1092N4033,2.271530337371333
E1092N4035,2.28638345721619
E1092N4036,2.2536556032602104
E1092N4037,2.1847549705692044
E1092N4038,2.262334575303961
E1093N4009,2.41838008786779
E1093N4019,2.1934086933023127
E1093N4020,2.096894520400117
E1093N4021,2.0757669356209187
E1093N4023,1.991069070986947
E1093N4024,1.9773749852344664
E1093N4025,2.023087163070691
E1093N4026,2.094341315109649
E1093N4027,2.2102172285264667
E1093N4028,2.1972815897381217
E1093N4029,2.2301605906775204
E1093N4030,2.2403562876836376
E1093N4032,2.234063682361457
E1093N4033,2.268336379740252
E1093N4034,2.294787797194243
E1093N4035,2.2378834417057494
E1093N4036,2.1718600134226973
E1093N4037,2.149912371312367
E1093N4038,2.1589745517279875
E1093N4039,2.206233976924214
E1094N3958,2.502521879753488
E1094N3960,2.5072142484552997
E1094N3961,2.463479906825697
E1094N3990,2.4669831612800097
E1094N4009,2.4108406648973184
E1094N4019,2.250112309207224
E1094N4020,2.2241755038107285
E1094N4021,2.1832430740183666
E1094N4022,2.1538700261280908
E1094N4027,2.2567545355038474
E1094N4032,2.138643052575992
E1094N4034,2.310420606963408
E1094N4035,2.216754266319436
E1094N4036,2.1363338286908173
E1094N4037,2.1243074509687165
E1094N4038,2.130831940295391
E1094N4039,2.171750583610617
E1094N4040,2.2997971632905907
E1094N4041,2.3037441369332243
E1095N3960,2.475576736584528
E1095N3961,2.478708315256912
E1095N3962,2.456745536248619
E1095N3985,2.3501521881917897
E1095N3986,2.404522516580355
E1095N3987,2.420641947281796
E1095N3988,2.4258633671677647
E1095N3989,2.438569115943992
E1095N3990,2.453163321804997
E1095N4009,2.3707180661504177
E1095N4017,2.2429537402798854
E1095N4018,2.250472257533976
E1095N4019,2.267046731449448
E1095N4020,2.275239915430535
E1095N4021,2.283373050806074
E1095N4031,2.3555517938523973
E1095N4033,2.2735827926999947
E1095N4034,2.2954278006708115
E1095N4035,2.187187197575082
E1095N4036,2.141729875683301
E1095N4037,2.1245538481366784
E1095N4038,2.1247587424078627
E1095N4039,2.166463295634917
E1095N4040,2.25347036093474
E1095N4041,2.346957936748968
E1095N4042,2.354239939318595
E1096N3960,2.4417995101470606
E1096N3961,2.439713599807398
E1096N3962,2.449575052246796
E1096N3983,2.260680122095194
E1096N3984,2.2717640584899925
E1096N3985,2.2844071096315965
E1096N3986,2.3112078265757874
E1096N3987,2.34804514427718
E1096N3988,2.3771279922905344
E1096N3989,2.399932919446174
E1096N4010,2.314040085621333
E1096N4011,2.362085136573619
