,zones,catetgory,place,within,Value
1521,Effen-Rith,Leisure and culture,Recreation,Within 20 km,8.0
1522,Effen-Rith,Leisure and culture,Recreation,Within 50 km,31.1
1526,Effen-Rith,Retail,Department store,Within 10 km,6.4
1527,Effen-Rith,Retail,Department store,Within 20 km,13.1
1528,Effen-Rith,Retail,Department store,Within 5 km,1.0
1531,Effen-Rith,Retail,Grocery stores,Within 1 km,0.0
1532,Effen-Rith,Retail,Grocery stores,Within 3 km,0.3
1533,Effen-Rith,Retail,Grocery stores,Within 5 km,7.9
1534,Effen-Rith,Retail,Grocery stores,Within 1 km,0.0
1535,Effen-Rith,Retail,Grocery stores,Within 3 km,2.0
1536,Effen-Rith,Retail,Grocery stores,Within 5 km,29.5
1541,Emer,Childcare,Daycare centres,Within 1 km,0.3
1542,Emer,Childcare,Daycare centres,Within 3 km,15.3
1543,Emer,Childcare,Daycare centres,Within 5 km,50.7
1545,Emer,Childcare,Out-of-school care,Within 1 km,0.0
1546,Emer,Childcare,Out-of-school care,Within 3 km,13.4
1547,Emer,Childcare,Out-of-school care,Within 5 km,41.4
1550,Emer,Education,Primary education,Within 1 km,0.0
1551,Emer,Education,Primary education,Within 3 km,7.1
1552,Emer,Education,Primary education,Within 5 km,23.7
1582,Emer,Health and well-being,General Practitioner's Practice,Within 1 km,0.2
1583,Emer,Health and well-being,General Practitioner's Practice,Within 3 km,6.8
1584,Emer,Health and well-being,General Practitioner's Practice,Within 5 km,19.3
1586,Emer,Health and well-being,Hospital (excl. outpatient clinics),Within 10 km,2.0
1587,Emer,Health and well-being,Hospital (excl. outpatient clinics),Within 20 km,3.0
1588,Emer,Health and well-being,Hospital (excl. outpatient clinics),Within 5 km,0.8
1590,Emer,Health and well-being,Hospital (incl. outpatient clinics),Within 10 km,2.7
1591,Emer,Health and well-being,Hospital (incl. outpatient clinics),Within 20 km,5.6
1592,Emer,Health and well-being,Hospital (incl. outpatient clinics),Within 5 km,0.8
1598,Emer,Hospitality,Cafes etc.,Within 1 km,0.2
1599,Emer,Hospitality,Cafes etc.,Within 3 km,32.6
1600,Emer,Hospitality,Cafes etc.,Within 5 km,100.7
1602,Emer,Hospitality,Cafeterias etc.,Within 1 km,0.9
1603,Emer,Hospitality,Cafeterias etc.,Within 3 km,42.5
1604,Emer,Hospitality,Cafeterias etc.,Within 5 km,133.6
1606,Emer,Hospitality,Hotels etc.,Within 10 5km,18.1
1607,Emer,Hospitality,Hotels etc.,Within 20 km,41.7
1608,Emer,Hospitality,Hotels etc.,Within 5 km,10.3
1610,Emer,Hospitality,Restaurants,Within 1 km,0.5
1611,Emer,Hospitality,Restaurants,Within 3 km,45.5
1612,Emer,Hospitality,Restaurants,Within 5 km,145.4
1614,Emer,Leisure and culture,Cinema,Within 10 km,3.0
1615,Emer,Leisure and culture,Cinema,Within 20 km,4.0
1616,Emer,Leisure and culture,Cinema,Within 5 km,1.2
1619,Emer,Leisure and culture,Museum,Within 10 km,2.6
1620,Emer,Leisure and culture,Museum,Within 20 km,9.7
1621,Emer,Leisure and culture,Museum,Within 5 km,0.7
1624,Emer,Leisure and culture,Performing arts (excl. festivals),Within 10 km,2.7
1625,Emer,Leisure and culture,Performing arts (excl. festivals),Within 20 km,6.7
1626,Emer,Leisure and culture,Performing arts (excl. festivals),Within 5 km,1.2
1630,Emer,Leisure and culture,Recreation,Within 10 km,5.0
1631,Emer,Leisure and culture,Recreation,Within 20 km,10.0
1632,Emer,Leisure and culture,Recreation,Within 50 km,38.6
1636,Emer,Retail,Department store,Within 10 km,6.2
1637,Emer,Retail,Department store,Within 20 km,14.9
1638,Emer,Retail,Department store,Within 5 km,4.0
1641,Emer,Retail,Grocery stores,Within 1 km,0.2
1642,Emer,Retail,Grocery stores,Within 3 km,9.5
1643,Emer,Retail,Grocery stores,Within 5 km,32.1
1644,Emer,Retail,Grocery stores,Within 1 km,0.5
1645,Emer,Retail,Grocery stores,Within 3 km,31.5
1646,Emer,Retail,Grocery stores,Within 5 km,120.5
1651,Fellenoord,Childcare,Daycare centres,Within 1 km,4.0
1652,Fellenoord,Childcare,Daycare centres,Within 3 km,42.4
1653,Fellenoord,Childcare,Daycare centres,Within 5 km,72.8
1655,Fellenoord,Childcare,Out-of-school care,Within 1 km,2.7
1656,Fellenoord,Childcare,Out-of-school care,Within 3 km,36.8
1657,Fellenoord,Childcare,Out-of-school care,Within 5 km,62.2
1660,Fellenoord,Education,Primary education,Within 1 km,1.0
1661,Fellenoord,Education,Primary education,Within 3 km,16.7
1662,Fellenoord,Education,Primary education,Within 5 km,29.7
1692,Fellenoord,Health and well-being,General Practitioner's Practice,Within 1 km,1.0
1693,Fellenoord,Health and well-being,General Practitioner's Practice,Within 3 km,15.5
1694,Fellenoord,Health and well-being,General Practitioner's Practice,Within 5 km,28.5
1696,Fellenoord,Health and well-being,Hospital (excl. outpatient clinics),Within 10 km,2.0
1697,Fellenoord,Health and well-being,Hospital (excl. outpatient clinics),Within 20 km,3.0
1698,Fellenoord,Health and well-being,Hospital (excl. outpatient clinics),Within 5 km,2.0
1700,Fellenoord,Health and well-being,Hospital (incl. outpatient clinics),Within 10 km,4.0
1701,Fellenoord,Health and well-being,Hospital (incl. outpatient clinics),Within 20 km,6.0
1702,Fellenoord,Health and well-being,Hospital (incl. outpatient clinics),Within 5 km,2.0
1708,Fellenoord,Hospitality,Cafes etc.,Within 1 km,65.6
1709,Fellenoord,Hospitality,Cafes etc.,Within 3 km,108.8
1710,Fellenoord,Hospitality,Cafes etc.,Within 5 km,115.7
1712,Fellenoord,Hospitality,Cafeterias etc.,Within 1 km,62.9
1713,Fellenoord,Hospitality,Cafeterias etc.,Within 3 km,149.4
1714,Fellenoord,Hospitality,Cafeterias etc.,Within 5 km,173.5
1716,Fellenoord,Hospitality,Hotels etc.,Within 10 5km,20.7
1717,Fellenoord,Hospitality,Hotels etc.,Within 20 km,43.1
1718,Fellenoord,Hospitality,Hotels etc.,Within 5 km,15.1
1720,Fellenoord,Hospitality,Restaurants,Within 1 km,81.6
1721,Fellenoord,Hospitality,Restaurants,Within 3 km,166.2
1722,Fellenoord,Hospitality,Restaurants,Within 5 km,195.5
1724,Fellenoord,Leisure and culture,Cinema,Within 10 km,3.0
1725,Fellenoord,Leisure and culture,Cinema,Within 20 km,4.0
1726,Fellenoord,Leisure and culture,Cinema,Within 5 km,2.0
1729,Fellenoord,Leisure and culture,Museum,Within 10 km,3.0
1730,Fellenoord,Leisure and culture,Museum,Within 20 km,10.0
1731,Fellenoord,Leisure and culture,Museum,Within 5 km,1.0
1734,Fellenoord,Leisure and culture,Performing arts (excl. festivals),Within 10 km,3.3
1735,Fellenoord,Leisure and culture,Performing arts (excl. festivals),Within 20 km,7.0
1736,Fellenoord,Leisure and culture,Performing arts (excl. festivals),Within 5 km,2.0
1740,Fellenoord,Leisure and culture,Recreation,Within 10 km,5.0
1741,Fellenoord,Leisure and culture,Recreation,Within 20 km,10.0
1742,Fellenoord,Leisure and culture,Recreation,Within 50 km,38.8
1746,Fellenoord,Retail,Department store,Within 10 km,6.9
1747,Fellenoord,Retail,Department store,Within 20 km,16.0
1748,Fellenoord,Retail,Department store,Within 5 km,4.3
1751,Fellenoord,Retail,Grocery stores,Within 1 km,8.4
1752,Fellenoord,Retail,Grocery stores,Within 3 km,29.7
1753,Fellenoord,Retail,Grocery stores,Within 5 km,40.9
1754,Fellenoord,Retail,Grocery stores,Within 1 km,39.3
1755,Fellenoord,Retail,Grocery stores,Within 3 km,118.9
1756,Fellenoord,Retail,Grocery stores,Within 5 km,158.7
1761,Gageldonk,Childcare,Daycare centres,Within 1 km,3.4
1762,Gageldonk,Childcare,Daycare centres,Within 3 km,12.6
1763,Gageldonk,Childcare,Daycare centres,Within 5 km,56.2
1765,Gageldonk,Childcare,Out-of-school care,Within 1 km,2.0
1766,Gageldonk,Childcare,Out-of-school care,Within 3 km,8.2
1767,Gageldonk,Childcare,Out-of-school care,Within 5 km,49.2
1770,Gageldonk,Education,Primary education,Within 1 km,1.0
1771,Gageldonk,Education,Primary education,Within 3 km,4.1
1772,Gageldonk,Education,Primary education,Within 5 km,26.5
1802,Gageldonk,Health and well-being,General Practitioner's Practice,Within 1 km,2.3
1803,Gageldonk,Health and well-being,General Practitioner's Practice,Within 3 km,4.5
1804,Gageldonk,Health and well-being,General Practitioner's Practice,Within 5 km,21.0
1806,Gageldonk,Health and well-being,Hospital (excl. outpatient clinics),Within 10 km,2.0
1807,Gageldonk,Health and well-being,Hospital (excl. outpatient clinics),Within 20 km,3.0
1808,Gageldonk,Health and well-being,Hospital (excl. outpatient clinics),Within 5 km,1.0
1810,Gageldonk,Health and well-being,Hospital (incl. outpatient clinics),Within 10 km,3.9
1811,Gageldonk,Health and well-being,Hospital (incl. outpatient clinics),Within 20 km,6.0
1812,Gageldonk,Health and well-being,Hospital (incl. outpatient clinics),Within 5 km,1.0
1818,Gageldonk,Hospitality,Cafes etc.,Within 1 km,0.0
1819,Gageldonk,Hospitality,Cafes etc.,Within 3 km,7.6
1820,Gageldonk,Hospitality,Cafes etc.,Within 5 km,110.2
1822,Gageldonk,Hospitality,Cafeterias etc.,Within 1 km,0.8
1823,Gageldonk,Hospitality,Cafeterias etc.,Within 3 km,17.9
1824,Gageldonk,Hospitality,Cafeterias etc.,Within 5 km,152.0
1826,Gageldonk,Hospitality,Hotels etc.,Within 10 5km,19.3
1827,Gageldonk,Hospitality,Hotels etc.,Within 20 km,42.0
1828,Gageldonk,Hospitality,Hotels etc.,Within 5 km,10.9
1830,Gageldonk,Hospitality,Restaurants,Within 1 km,1.5
1831,Gageldonk,Hospitality,Restaurants,Within 3 km,14.8
1832,Gageldonk,Hospitality,Restaurants,Within 5 km,168.5
1834,Gageldonk,Leisure and culture,Cinema,Within 10 km,3.0
1835,Gageldonk,Leisure and culture,Cinema,Within 20 km,4.0
1836,Gageldonk,Leisure and culture,Cinema,Within 5 km,1.9
1839,Gageldonk,Leisure and culture,Museum,Within 10 km,3.0
1840,Gageldonk,Leisure and culture,Museum,Within 20 km,10.3
1841,Gageldonk,Leisure and culture,Museum,Within 5 km,1.0
1844,Gageldonk,Leisure and culture,Performing arts (excl. festivals),Within 10 km,2.7
1845,Gageldonk,Leisure and culture,Performing arts (excl. festivals),Within 20 km,7.0
1846,Gageldonk,Leisure and culture,Performing arts (excl. festivals),Within 5 km,2.0
1850,Gageldonk,Leisure and culture,Recreation,Within 10 km,5.0
1851,Gageldonk,Leisure and culture,Recreation,Within 20 km,10.0
1852,Gageldonk,Leisure and culture,Recreation,Within 50 km,39.5
1856,Gageldonk,Retail,Department store,Within 10 km,6.0
1857,Gageldonk,Retail,Department store,Within 20 km,15.0
1858,Gageldonk,Retail,Department store,Within 5 km,4.9
1861,Gageldonk,Retail,Grocery stores,Within 1 km,0.7
1862,Gageldonk,Retail,Grocery stores,Within 3 km,7.6
1863,Gageldonk,Retail,Grocery stores,Within 5 km,35.3
1864,Gageldonk,Retail,Grocery stores,Within 1 km,1.4
1865,Gageldonk,Retail,Grocery stores,Within 3 km,15.8
1866,Gageldonk,Retail,Grocery stores,Within 5 km,134.9
1871,Geeren-noord,Childcare,Daycare centres,Within 1 km,3.5
1872,Geeren-noord,Childcare,Daycare centres,Within 3 km,15.6
1873,Geeren-noord,Childcare,Daycare centres,Within 5 km,50.7
1875,Geeren-noord,Childcare,Out-of-school care,Within 1 km,1.2
1876,Geeren-noord,Childcare,Out-of-school care,Within 3 km,12.0
1877,Geeren-noord,Childcare,Out-of-school care,Within 5 km,40.9
1880,Geeren-noord,Education,Primary education,Within 1 km,2.0
1881,Geeren-noord,Education,Primary education,Within 3 km,9.5
1882,Geeren-noord,Education,Primary education,Within 5 km,22.7
1912,Geeren-noord,Health and well-being,General Practitioner's Practice,Within 1 km,2.3
1913,Geeren-noord,Health and well-being,General Practitioner's Practice,Within 3 km,7.0
1914,Geeren-noord,Health and well-being,General Practitioner's Practice,Within 5 km,18.4
1916,Geeren-noord,Health and well-being,Hospital (excl. outpatient clinics),Within 10 km,3.0
1917,Geeren-noord,Health and well-being,Hospital (excl. outpatient clinics),Within 20 km,3.0
1918,Geeren-noord,Health and well-being,Hospital (excl. outpatient clinics),Within 5 km,1.0
1920,Geeren-noord,Health and well-being,Hospital (incl. outpatient clinics),Within 10 km,3.0
1921,Geeren-noord,Health and well-being,Hospital (incl. outpatient clinics),Within 20 km,5.0
1922,Geeren-noord,Health and well-being,Hospital (incl. outpatient clinics),Within 5 km,1.0
1928,Geeren-noord,Hospitality,Cafes etc.,Within 1 km,0.0
1929,Geeren-noord,Hospitality,Cafes etc.,Within 3 km,10.1
1930,Geeren-noord,Hospitality,Cafes etc.,Within 5 km,99.7
1932,Geeren-noord,Hospitality,Cafeterias etc.,Within 1 km,3.0
1933,Geeren-noord,Hospitality,Cafeterias etc.,Within 3 km,29.3
1934,Geeren-noord,Hospitality,Cafeterias etc.,Within 5 km,139.6
1936,Geeren-noord,Hospitality,Hotels etc.,Within 10 5km,19.0
1937,Geeren-noord,Hospitality,Hotels etc.,Within 20 km,42.0
1938,Geeren-noord,Hospitality,Hotels etc.,Within 5 km,13.0
1940,Geeren-noord,Hospitality,Restaurants,Within 1 km,1.4
1941,Geeren-noord,Hospitality,Restaurants,Within 3 km,26.7
1942,Geeren-noord,Hospitality,Restaurants,Within 5 km,161.8
1944,Geeren-noord,Leisure and culture,Cinema,Within 10 km,3.0
1945,Geeren-noord,Leisure and culture,Cinema,Within 20 km,4.0
1946,Geeren-noord,Leisure and culture,Cinema,Within 5 km,2.0
1949,Geeren-noord,Leisure and culture,Museum,Within 10 km,3.0
1950,Geeren-noord,Leisure and culture,Museum,Within 20 km,8.0
1951,Geeren-noord,Leisure and culture,Museum,Within 5 km,1.0
1954,Geeren-noord,Leisure and culture,Performing arts (excl. festivals),Within 10 km,4.0
1955,Geeren-noord,Leisure and culture,Performing arts (excl. festivals),Within 20 km,6.0
1956,Geeren-noord,Leisure and culture,Performing arts (excl. festivals),Within 5 km,2.0
1960,Geeren-noord,Leisure and culture,Recreation,Within 10 km,5.7
1961,Geeren-noord,Leisure and culture,Recreation,Within 20 km,9.7
1962,Geeren-noord,Leisure and culture,Recreation,Within 50 km,40.7
1966,Geeren-noord,Retail,Department store,Within 10 km,7.0
1967,Geeren-noord,Retail,Department store,Within 20 km,14.8
1968,Geeren-noord,Retail,Department store,Within 5 km,2.8
1971,Geeren-noord,Retail,Grocery stores,Within 1 km,2.2
1972,Geeren-noord,Retail,Grocery stores,Within 3 km,9.0
1973,Geeren-noord,Retail,Grocery stores,Within 5 km,30.9
1974,Geeren-noord,Retail,Grocery stores,Within 1 km,8.7
1975,Geeren-noord,Retail,Grocery stores,Within 3 km,37.9
1976,Geeren-noord,Retail,Grocery stores,Within 5 km,123.9
1981,Geeren-zuid,Childcare,Daycare centres,Within 1 km,4.5
1982,Geeren-zuid,Childcare,Daycare centres,Within 3 km,19.0
1983,Geeren-zuid,Childcare,Daycare centres,Within 5 km,58.0
1985,Geeren-zuid,Childcare,Out-of-school care,Within 1 km,1.9
1986,Geeren-zuid,Childcare,Out-of-school care,Within 3 km,13.8
1987,Geeren-zuid,Childcare,Out-of-school care,Within 5 km,47.9
1990,Geeren-zuid,Education,Primary education,Within 1 km,3.1
1991,Geeren-zuid,Education,Primary education,Within 3 km,9.8
1992,Geeren-zuid,Education,Primary education,Within 5 km,25.6
2022,Geeren-zuid,Health and well-being,General Practitioner's Practice,Within 1 km,2.0
2023,Geeren-zuid,Health and well-being,General Practitioner's Practice,Within 3 km,7.7
2024,Geeren-zuid,Health and well-being,General Practitioner's Practice,Within 5 km,22.6
2026,Geeren-zuid,Health and well-being,Hospital (excl. outpatient clinics),Within 10 km,3.0
2027,Geeren-zuid,Health and well-being,Hospital (excl. outpatient clinics),Within 20 km,3.0
2028,Geeren-zuid,Health and well-being,Hospital (excl. outpatient clinics),Within 5 km,1.2
2030,Geeren-zuid,Health and well-being,Hospital (incl. outpatient clinics),Within 10 km,3.0
2031,Geeren-zuid,Health and well-being,Hospital (incl. outpatient clinics),Within 20 km,5.0
2032,Geeren-zuid,Health and well-being,Hospital (incl. outpatient clinics),Within 5 km,1.2
2038,Geeren-zuid,Hospitality,Cafes etc.,Within 1 km,0.0
2039,Geeren-zuid,Hospitality,Cafes etc.,Within 3 km,46.5
2040,Geeren-zuid,Hospitality,Cafes etc.,Within 5 km,105.4
2042,Geeren-zuid,Hospitality,Cafeterias etc.,Within 1 km,3.0
2043,Geeren-zuid,Hospitality,Cafeterias etc.,Within 3 km,70.9
2044,Geeren-zuid,Hospitality,Cafeterias etc.,Within 5 km,149.2
2046,Geeren-zuid,Hospitality,Hotels etc.,Within 10 5km,19.0
2047,Geeren-zuid,Hospitality,Hotels etc.,Within 20 km,42.0
2048,Geeren-zuid,Hospitality,Hotels etc.,Within 5 km,13.0
2050,Geeren-zuid,Hospitality,Restaurants,Within 1 km,1.9
2051,Geeren-zuid,Hospitality,Restaurants,Within 3 km,72.2
2052,Geeren-zuid,Hospitality,Restaurants,Within 5 km,170.6
2054,Geeren-zuid,Leisure and culture,Cinema,Within 10 km,3.0
2055,Geeren-zuid,Leisure and culture,Cinema,Within 20 km,4.0
2056,Geeren-zuid,Leisure and culture,Cinema,Within 5 km,2.0
2059,Geeren-zuid,Leisure and culture,Museum,Within 10 km,3.0
2060,Geeren-zuid,Leisure and culture,Museum,Within 20 km,8.1
2061,Geeren-zuid,Leisure and culture,Museum,Within 5 km,1.0
2064,Geeren-zuid,Leisure and culture,Performing arts (excl. festivals),Within 10 km,4.0
2065,Geeren-zuid,Leisure and culture,Performing arts (excl. festivals),Within 20 km,6.0
2066,Geeren-zuid,Leisure and culture,Performing arts (excl. festivals),Within 5 km,2.0
2070,Geeren-zuid,Leisure and culture,Recreation,Within 10 km,6.0
2071,Geeren-zuid,Leisure and culture,Recreation,Within 20 km,10.0
2072,Geeren-zuid,Leisure and culture,Recreation,Within 50 km,41.1
2076,Geeren-zuid,Retail,Department store,Within 10 km,7.0
2077,Geeren-zuid,Retail,Department store,Within 20 km,15.0
2078,Geeren-zuid,Retail,Department store,Within 5 km,3.1
2081,Geeren-zuid,Retail,Grocery stores,Within 1 km,2.2
2082,Geeren-zuid,Retail,Grocery stores,Within 3 km,13.8
2083,Geeren-zuid,Retail,Grocery stores,Within 5 km,34.1
2084,Geeren-zuid,Retail,Grocery stores,Within 1 km,9.9
2085,Geeren-zuid,Retail,Grocery stores,Within 3 km,54.7
2086,Geeren-zuid,Retail,Grocery stores,Within 5 km,140.2
2091,Ginneken,Childcare,Daycare centres,Within 1 km,7.6
2092,Ginneken,Childcare,Daycare centres,Within 3 km,32.4
2093,Ginneken,Childcare,Daycare centres,Within 5 km,63.2
2095,Ginneken,Childcare,Out-of-school care,Within 1 km,5.9
2096,Ginneken,Childcare,Out-of-school care,Within 3 km,29.5
2097,Ginneken,Childcare,Out-of-school care,Within 5 km,57.1
2100,Ginneken,Education,Primary education,Within 1 km,2.3
2101,Ginneken,Education,Primary education,Within 3 km,10.7
2102,Ginneken,Education,Primary education,Within 5 km,26.2
2132,Ginneken,Health and well-being,General Practitioner's Practice,Within 1 km,1.9
2133,Ginneken,Health and well-being,General Practitioner's Practice,Within 3 km,10.6
2134,Ginneken,Health and well-being,General Practitioner's Practice,Within 5 km,23.7
2136,Ginneken,Health and well-being,Hospital (excl. outpatient clinics),Within 10 km,2.0
2137,Ginneken,Health and well-being,Hospital (excl. outpatient clinics),Within 20 km,3.0
2138,Ginneken,Health and well-being,Hospital (excl. outpatient clinics),Within 5 km,2.0
2140,Ginneken,Health and well-being,Hospital (incl. outpatient clinics),Within 10 km,2.2
2141,Ginneken,Health and well-being,Hospital (incl. outpatient clinics),Within 20 km,5.0
2142,Ginneken,Health and well-being,Hospital (incl. outpatient clinics),Within 5 km,2.0
2148,Ginneken,Hospitality,Cafes etc.,Within 1 km,4.5
2149,Ginneken,Hospitality,Cafes etc.,Within 3 km,71.3
2150,Ginneken,Hospitality,Cafes etc.,Within 5 km,116.5
2152,Ginneken,Hospitality,Cafeterias etc.,Within 1 km,8.7
2153,Ginneken,Hospitality,Cafeterias etc.,Within 3 km,94.8
2154,Ginneken,Hospitality,Cafeterias etc.,Within 5 km,163.8
2156,Ginneken,Hospitality,Hotels etc.,Within 10 5km,18.3
2157,Ginneken,Hospitality,Hotels etc.,Within 20 km,43.1
2158,Ginneken,Hospitality,Hotels etc.,Within 5 km,14.5
2160,Ginneken,Hospitality,Restaurants,Within 1 km,11.3
2161,Ginneken,Hospitality,Restaurants,Within 3 km,123.8
2162,Ginneken,Hospitality,Restaurants,Within 5 km,193.0
2164,Ginneken,Leisure and culture,Cinema,Within 10 km,3.0
2165,Ginneken,Leisure and culture,Cinema,Within 20 km,4.0
2166,Ginneken,Leisure and culture,Cinema,Within 5 km,3.0
2169,Ginneken,Leisure and culture,Museum,Within 10 km,2.0
2170,Ginneken,Leisure and culture,Museum,Within 20 km,9.2
2171,Ginneken,Leisure and culture,Museum,Within 5 km,1.0
2174,Ginneken,Leisure and culture,Performing arts (excl. festivals),Within 10 km,3.0
2175,Ginneken,Leisure and culture,Performing arts (excl. festivals),Within 20 km,6.3
2176,Ginneken,Leisure and culture,Performing arts (excl. festivals),Within 5 km,2.0
2180,Ginneken,Leisure and culture,Recreation,Within 10 km,6.3
2181,Ginneken,Leisure and culture,Recreation,Within 20 km,10.0
2182,Ginneken,Leisure and culture,Recreation,Within 50 km,34.5
2186,Ginneken,Retail,Department store,Within 10 km,6.2
2187,Ginneken,Retail,Department store,Within 20 km,16.0
2188,Ginneken,Retail,Department store,Within 5 km,3.2
2191,Ginneken,Retail,Grocery stores,Within 1 km,2.6
2192,Ginneken,Retail,Grocery stores,Within 3 km,20.2
2193,Ginneken,Retail,Grocery stores,Within 5 km,38.4
2194,Ginneken,Retail,Grocery stores,Within 1 km,11.4
2195,Ginneken,Retail,Grocery stores,Within 3 km,83.3
2196,Ginneken,Retail,Grocery stores,Within 5 km,154.6
2201,Haagpoort,Childcare,Daycare centres,Within 1 km,4.1
2202,Haagpoort,Childcare,Daycare centres,Within 3 km,39.4
2203,Haagpoort,Childcare,Daycare centres,Within 5 km,70.9
2205,Haagpoort,Childcare,Out-of-school care,Within 1 km,3.7
2206,Haagpoort,Childcare,Out-of-school care,Within 3 km,33.2
2207,Haagpoort,Childcare,Out-of-school care,Within 5 km,60.7
2210,Haagpoort,Education,Primary education,Within 1 km,1.2
2211,Haagpoort,Education,Primary education,Within 3 km,14.6
2212,Haagpoort,Education,Primary education,Within 5 km,28.6
2242,Haagpoort,Health and well-being,General Practitioner's Practice,Within 1 km,3.5
2243,Haagpoort,Health and well-being,General Practitioner's Practice,Within 3 km,12.1
2244,Haagpoort,Health and well-being,General Practitioner's Practice,Within 5 km,28.1
2246,Haagpoort,Health and well-being,Hospital (excl. outpatient clinics),Within 10 km,2.0
2247,Haagpoort,Health and well-being,Hospital (excl. outpatient clinics),Within 20 km,3.0
2248,Haagpoort,Health and well-being,Hospital (excl. outpatient clinics),Within 5 km,2.0
2250,Haagpoort,Health and well-being,Hospital (incl. outpatient clinics),Within 10 km,4.0
2251,Haagpoort,Health and well-being,Hospital (incl. outpatient clinics),Within 20 km,6.0
2252,Haagpoort,Health and well-being,Hospital (incl. outpatient clinics),Within 5 km,2.0
2258,Haagpoort,Hospitality,Cafes etc.,Within 1 km,9.6
2259,Haagpoort,Hospitality,Cafes etc.,Within 3 km,106.1
2260,Haagpoort,Hospitality,Cafes etc.,Within 5 km,117.4
2262,Haagpoort,Hospitality,Cafeterias etc.,Within 1 km,14.7
2263,Haagpoort,Hospitality,Cafeterias etc.,Within 3 km,139.2
2264,Haagpoort,Hospitality,Cafeterias etc.,Within 5 km,171.9
2266,Haagpoort,Hospitality,Hotels etc.,Within 10 5km,21.0
2267,Haagpoort,Hospitality,Hotels etc.,Within 20 km,42.0
2268,Haagpoort,Hospitality,Hotels etc.,Within 5 km,15.0
2270,Haagpoort,Hospitality,Restaurants,Within 1 km,15.6
2271,Haagpoort,Hospitality,Restaurants,Within 3 km,157.8
2272,Haagpoort,Hospitality,Restaurants,Within 5 km,195.1
2274,Haagpoort,Leisure and culture,Cinema,Within 10 km,3.9
2275,Haagpoort,Leisure and culture,Cinema,Within 20 km,4.0
2276,Haagpoort,Leisure and culture,Cinema,Within 5 km,2.0
2279,Haagpoort,Leisure and culture,Museum,Within 10 km,4.0
2280,Haagpoort,Leisure and culture,Museum,Within 20 km,10.0
2281,Haagpoort,Leisure and culture,Museum,Within 5 km,1.0
2284,Haagpoort,Leisure and culture,Performing arts (excl. festivals),Within 10 km,4.0
2285,Haagpoort,Leisure and culture,Performing arts (excl. festivals),Within 20 km,7.0
2286,Haagpoort,Leisure and culture,Performing arts (excl. festivals),Within 5 km,2.0
2290,Haagpoort,Leisure and culture,Recreation,Within 10 km,5.2
2291,Haagpoort,Leisure and culture,Recreation,Within 20 km,10.0
2292,Haagpoort,Leisure and culture,Recreation,Within 50 km,38.0
2296,Haagpoort,Retail,Department store,Within 10 km,6.7
2297,Haagpoort,Retail,Department store,Within 20 km,16.0
2298,Haagpoort,Retail,Department store,Within 5 km,5.0
2301,Haagpoort,Retail,Grocery stores,Within 1 km,5.9
2302,Haagpoort,Retail,Grocery stores,Within 3 km,25.4
2303,Haagpoort,Retail,Grocery stores,Within 5 km,41.1
2304,Haagpoort,Retail,Grocery stores,Within 1 km,17.5
2305,Haagpoort,Retail,Grocery stores,Within 3 km,98.4
2306,Haagpoort,Retail,Grocery stores,Within 5 km,160.0
2311,Hagebeemd,Childcare,Daycare centres,Within 1 km,0.1
2312,Hagebeemd,Childcare,Daycare centres,Within 3 km,5.3
2313,Hagebeemd,Childcare,Daycare centres,Within 5 km,19.1
2315,Hagebeemd,Childcare,Out-of-school care,Within 1 km,0.1
2316,Hagebeemd,Childcare,Out-of-school care,Within 3 km,4.5
2317,Hagebeemd,Childcare,Out-of-school care,Within 5 km,15.5
2320,Hagebeemd,Education,Primary education,Within 1 km,0.1
2321,Hagebeemd,Education,Primary education,Within 3 km,3.2
2322,Hagebeemd,Education,Primary education,Within 5 km,10.0
2352,Hagebeemd,Health and well-being,General Practitioner's Practice,Within 1 km,0.0
2353,Hagebeemd,Health and well-being,General Practitioner's Practice,Within 3 km,1.9
2354,Hagebeemd,Health and well-being,General Practitioner's Practice,Within 5 km,6.9
2356,Hagebeemd,Health and well-being,Hospital (excl. outpatient clinics),Within 10 km,2.0
2357,Hagebeemd,Health and well-being,Hospital (excl. outpatient clinics),Within 20 km,3.0
2358,Hagebeemd,Health and well-being,Hospital (excl. outpatient clinics),Within 5 km,0.0
2360,Hagebeemd,Health and well-being,Hospital (incl. outpatient clinics),Within 10 km,2.3
2361,Hagebeemd,Health and well-being,Hospital (incl. outpatient clinics),Within 20 km,5.6
2362,Hagebeemd,Health and well-being,Hospital (incl. outpatient clinics),Within 5 km,0.0
2368,Hagebeemd,Hospitality,Cafes etc.,Within 1 km,0.1
2369,Hagebeemd,Hospitality,Cafes etc.,Within 3 km,1.9
2370,Hagebeemd,Hospitality,Cafes etc.,Within 5 km,12.6
2372,Hagebeemd,Hospitality,Cafeterias etc.,Within 1 km,0.1
2373,Hagebeemd,Hospitality,Cafeterias etc.,Within 3 km,3.1
2374,Hagebeemd,Hospitality,Cafeterias etc.,Within 5 km,16.8
2376,Hagebeemd,Hospitality,Hotels etc.,Within 10 5km,16.2
2377,Hagebeemd,Hospitality,Hotels etc.,Within 20 km,39.0
2378,Hagebeemd,Hospitality,Hotels etc.,Within 5 km,1.3
2380,Hagebeemd,Hospitality,Restaurants,Within 1 km,0.0
2381,Hagebeemd,Hospitality,Restaurants,Within 3 km,4.5
